"5,uniform,ball_tree,1"
"5,uniform,ball_tree,2"
"5,distance,ball_tree,1"
"5,distance,ball_tree,2"
"6,uniform,ball_tree,1"
"7,uniform,ball_tree,1"
"8,uniform,ball_tree,1"
"9,uniform,ball_tree,1"
"10,uniform,ball_tree,1"
"13,uniform,ball_tree,1"
"29,uniform,ball_tree,1"
"8,uniform,ball_tree,2"
"10,uniform,ball_tree,2"
"12,uniform,ball_tree,1"
"16,uniform,ball_tree,1"
"26,uniform,ball_tree,1"
"28,uniform,ball_tree,1"
"28,uniform,ball_tree,2"
"6,uniform,ball_tree,2"
"30,uniform,ball_tree,2"
"11,uniform,ball_tree,1"
"13,uniform,ball_tree,2"
"19,distance,ball_tree,1"
